Conc._(ug_CN/100mL) A
0 0.000
10 0.049
30 0.153
50 0.258
70 0.356
90 0.460
110 0.561
130 0.671
150 0.761
170 0.863
190 0.956
210 1.053
230 1.158
250 1.245
0 0.000
20 0.099
40 0.203
60 0.310
80 0.406
100 0.504
120 0.609
140 0.708
160 0.803
180 0.904
200 0.997
220 1.102
240 1.186
0 0.0000
2 0.0095
4 0.0298
6 0.0402
8 0.0501
10 0.0501
