Sample,Class,Ba,Fe,Rb,K,Ti,Mn,Sr,Zr,Ca
RHO-38,1,1068,43775,103,22830,4180,1065,359,278,25740
RHO-39,1,676,38710,79,18230,3210,580,120,98,127590
RHO-48,1,539,30210,140,19310,3210,400,221,197.6,68190
RHO-49,1,1198,44430,108,19605,5000,1000,390,268.8,21590
RHO-50,1,617,29565,126,17415,3120,360,216,140.1,111850
RHO-60,1,772,3720,44,3840,457,540,308,29.575,276575
RHO-61,1,312,1765,13,1775,200,423,291,20.025,291498
RHO-102,1,1256,44880,105,21805,4725,760,419,258.05,20780
RHO-103,1,686,27145,115,19035,3360,420,210,206.1,81910
RHO-104,1,644,35370,134,22500,3525,585,204,179.05,19105
RHO-105,1,1177.5,31258,124,20768,3452,503,207,186.6,50508
RHO-106,1,483,25870,104,17495,2740,265,218,146.4,81800
RHO-107,1,825,35625,103,15440,2085,570,261,130.55,144095
RHO-69,1,1083,42235,106,19985,4120,620,342,213,24235
RHO-70,1,1068,42285,77,24420,4090,590,496,237,17715
RHO-71,1,601,37735,160,26065,3645,455,217,3,30665
RHO-72,1,994,28175,99,22145,3075,700,373,154,19165
RHO-73,1,1246,42510,86,27830,4595,615,475,258,22955
RHO-74,1,1015,35080,104,17685,2975,495,232,183,89830
RHO-75,1,718,23315,102,21190,2560,405,230,141.6,93810
RHO-76,1,574,28565,132,21875,3740,340,166,239,61420
RHO-77,1,867,33600,107,16650,3980,435,335,225,20445
RHO-78,1,1032,36195,108,26130,4310,575,391,237,18480
RHO-79,1,1488,47035,171,35890,4930,950,446,3,29795
RHO-80,1,734,25160,81.1,16050,2500,600,225,145.85,110535
RHO-81,1,501,21755,71,13245,1985,495,254,109,130970
RHO-82,1,611,25370,110,17435,2780,350,284,168,128450
RHO-83,1,707,33815,119,19115,3690,825,159,234,32470
RHO-84,1,615,30240,125,18405,3195,755,166,175,54835
RHO-85,1,607,27815,107,15660,2945,940,258,180,75370
RHO-86,1,612,39633,155,23327,4370,793,115,209,25770
RHO-87,1,788,37680,129,21975,4235,1070,176,239,11430
RHO-88,1,415,28100,127,21225,3025,300,220,178,75275
RHO-89,1,1007,24155,82,15600,2510,1475,279,153,129050
RHO-90,1,641,42895,198,31670,4465,665,183,248,16720
RHO-91,1,598,29360,115,20415,3460,380,226,186,72650
RHO-92,1,752,18980,78,16800,1880,480,256,102,103390
RHO-93,1,1075,46895,92,22800,4950,910,463,281,19340
